date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-16,1,0,0,0,1
2020-03-17,1,0,0,0,1
2020-03-18,1,0,0,0,1
2020-03-19,1,0,0,0,1
2020-03-20,2,0,0,0,2
2020-03-21,2,0,0,0,2
2020-03-22,2,0,0,0,2
2020-03-23,2,0,0,0,2
2020-03-24,2,0,0,0,2
2020-03-25,2,0,0,0,2
2020-03-26,2,0,0,0,2
2020-03-27,2,0,0,0,2
2020-03-28,3,0,0,0,3
2020-03-29,3,0,0,0,3
2020-03-30,3,0,0,0,3
2020-03-31,3,0,0,0,3
2020-04-01,4,0,0,0,4
2020-04-02,4,0,0,0,4
2020-04-03,5,0,0,0,5
2020-04-04,5,0,0,0,5
2020-04-05,20,0,0,0,20
2020-04-06,21,0,2,0,21
2020-04-07,42,0,2,1,42
2020-04-08,42,0,2,1,42
2020-04-09,42,0,2,1,42
2020-04-10,44,0,2,1,44
2020-04-11,48,0,2,1,48
2020-04-12,54,0,12,1,54
2020-04-13,54,0,12,1,54
2020-04-14,55,0,18,1,55
2020-04-15,60,0,18,1,60
2020-04-16,60,0,18,1,60
2020-04-17,60,0,19,1,60
2020-04-18,60,0,21,1,60
2020-04-19,61,0,24,1,61
2020-04-20,68,0,24,1,68
2020-04-21,74,0,24,1,74
2020-04-22,82,0,30,1,82
2020-04-23,83,0,32,1,83
2020-04-24,90,0,33,1,90
2020-04-25,94,0,33,1,94
2020-04-26,103,0,34,1,103
2020-04-27,108,0,35,1,108
2020-04-28,118,0,37,1,118
2020-04-29,119,0,38,1,119
2020-04-30,128,0,39,1,128
2020-05-01,143,0,41,1,143
2020-05-02,154,0,55,1,154
2020-05-03,160,0,56,1,160
2020-05-04,163,0,60,1,163
2020-05-05,170,0,60,1,170
2020-05-06,175,0,60,1,175
2020-05-07,185,0,61,2,185
2020-05-08,219,0,62,2,219
2020-05-09,271,0,63,2,271
2020-05-10,294,0,63,2,294
2020-05-11,377,0,68,3,377
2020-05-12,414,0,85,3,414
2020-05-13,437,0,116,3,437
2020-05-14,538,0,143,3,538
2020-05-15,611,0,158,3,611
2020-05-16,672,0,166,3,672
2020-05-17,737,0,196,3,737
2020-05-18,828,0,220,4,828
2020-05-19,876,0,220,4,876
2020-05-20,978,0,277,5,978
2020-05-21,1052,0,307,6,1052
2020-05-22,1103,0,393,7,1103
2020-05-23,1189,0,436,7,1189
2020-05-24,1269,0,497,7,1269
2020-05-25,1336,0,550,7,1336
2020-05-26,1438,0,649,7,1438
2020-05-27,1517,0,733,7,1517
2020-05-28,1593,0,733,7,1593
2020-05-29,1660,0,887,7,1660
2020-05-30,1723,0,887,7,1723
2020-05-31,1819,0,1050,7,1819
2020-06-01,1948,0,1126,7,1948
2020-06-02,2104,0,1245,7,2104
2020-06-03,2245,0,1325,7,2245
2020-06-04,2388,0,1416,7,2388
2020-06-05,2478,0,1416,7,2478
2020-06-06,2608,0,1604,8,2608
2020-06-07,2781,0,1716,8,2781
2020-06-08,2856,0,1894,9,2856
2020-06-09,2994,0,1993,9,2994
2020-06-10,3140,0,2133,9,3140
2020-06-11,3250,0,2282,9,3250
2020-06-12,3386,0,2354,9,3386
2020-06-13,3498,0,2474,10,3498
2020-06-14,3723,0,2594,10,3723
2020-06-15,3909,0,2708,11,3909
2020-06-16,4055,0,2854,11,4055
2020-06-17,4163,0,2974,11,4163
2020-06-18,4338,0,3047,11,4338
2020-06-19,4512,0,3144,11,4512
2020-06-20,4677,0,3297,11,4677
2020-06-21,4856,0,3534,12,4856
2020-06-22,5160,0,3720,14,5160
2020-06-23,5303,0,3863,15,5303
2020-06-24,5470,0,3988,17,5470
2020-06-25,5752,0,4123,17,5752
2020-06-26,5962,0,4291,17,5962
2020-06-27,6180,0,4422,17,6180
2020-06-28,6350,0,4606,18,6350
2020-06-29,6614,0,4743,21,6614
2020-06-30,6859,0,4946,23,6859
2020-07-01,7065,0,5189,25,7065
2020-07-02,7316,0,5353,25,7316
2020-07-03,7545,0,5502,27,7545
2020-07-04,8106,0,5705,29,8106
2020-07-05,8601,0,5934,34,8601
2020-07-06,9070,0,6224,36,9070
2020-07-07,9526,0,6486,38,9526
2020-07-08,10097,0,6703,42,10097
2020-07-09,10624,0,7006,48,10624
2020-07-10,11201,0,7407,52,11201
2020-07-11,11956,0,7972,56,11956
2020-07-12,12526,0,8360,61,12526
2020-07-13,13121,0,8750,64,13121
2020-07-14,13737,0,9255,70,13737
2020-07-15,14280,0,9864,74,14280
2020-07-16,14898,0,10476,77,14898
2020-07-17,15392,0,10877,79,15392
2020-07-18,16110,0,11330,83,16110
2020-07-19,16701,0,11937,86,16701
2020-07-20,17437,0,12453,91,17437
2020-07-21,18110,0,12910,97,18110
2020-07-22,18757,0,13310,103,18757
2020-07-23,19835,0,13750,108,19835
2020-07-24,21099,0,14393,114,21099
2020-07-25,22693,0,15201,120,22693
2020-07-26,24013,0,15929,130,24013
2020-07-27,25389,0,16793,140,25389
2020-07-28,26892,0,17374,147,26892
2020-07-29,28107,0,18061,154,28107
2020-07-30,29175,0,18939,159,29175
2020-07-31,30378,0,19746,169,30378
2020-08-01,31877,0,20518,177,31877
2020-08-02,33479,0,21274,187,33479
2020-08-03,34913,0,21955,197,34913
2020-08-04,36297,0,23074,207,36297
2020-08-05,37681,0,24483,216,37681
2020-08-06,39018,0,25738,225,39018
2020-08-07,40717,0,26888,235,40717
2020-08-08,42550,0,28698,247,42550
2020-08-09,44193,0,30242,259,44193
2020-08-10,45927,0,31785,272,45927
2020-08-11,47455,0,33021,286,47455
2020-08-12,48796,0,34806,296,48796
2020-08-13,50672,0,36479,305,50672
2020-08-14,52653,0,37901,314,52653
2020-08-15,54630,0,39206,324,54630
2020-08-16,57126,0,40727,333,57126
2020-08-17,60050,0,42277,343,60050
2020-08-18,62294,0,43780,353,62294
2020-08-19,64533,0,45315,362,64533
2020-08-20,67122,0,46936,372,67122
2020-08-21,70020,0,48577,380,70020
2020-08-22,72718,0,50504,390,72718
2020-08-23,75537,0,52277,399,75537
2020-08-24,78530,0,54406,409,78530
2020-08-25,81479,0,56925,419,81479
2020-08-26,84231,0,59470,428,84231
2020-08-27,87602,0,62813,441,87602
2020-08-28,90986,0,65323,448,90986
2020-08-29,94668,0,67826,456,94668
2020-08-30,97920,0,70714,470,97920
2020-08-31,100934,0,73233,482,100934
2020-09-01,103536,0,77286,492,103536
2020-09-02,106561,0,80770,503,106561
2020-09-03,109780,0,84073,514,109780
2020-09-04,113411,0,87351,522,113411
2020-09-05,116678,0,90331,531,116678
2020-09-06,120221,0,93774,538,120221
2020-09-07,124031,0,96364,546,124031
2020-09-08,127892,0,99398,556,127892
2020-09-09,131382,0,102185,569,131382
2020-09-10,135130,0,105295,580,135130
2020-09-11,139121,0,108001,591,139121
2020-09-12,143117,0,112062,605,143117
2020-09-13,146894,0,115279,616,146894
2020-09-14,150807,0,118642,626,150807
2020-09-15,155005,0,122024,637,155005
2020-09-16,158650,0,125738,645,158650
2020-09-17,162920,0,129859,656,162920
2020-09-18,167161,0,133466,669,167161
2020-09-19,171341,0,137567,682,171341
2020-09-20,175550,0,141657,691,175550
2020-09-21,179880,0,145675,701,179880
2020-09-22,184122,0,149379,710,184122
2020-09-23,188311,0,153213,721,188311
2020-09-24,192599,0,157128,736,192599
2020-09-25,196888,0,161044,752,196888
2020-09-26,201096,0,165432,767,201096
2020-09-27,205452,0,170193,783,205452
2020-09-28,209374,0,173571,797,209374
2020-09-29,212609,0,177585,813,212609
2020-09-30,215676,0,181481,828,215676
2020-10-01,219205,0,185780,843,219205
2020-10-02,222734,0,190080,859,222734
2020-10-03,226334,0,194128,875,226334
2020-10-04,229523,0,198215,891,229523
2020-10-05,232713,0,202302,907,232713
2020-10-06,235330,0,206400,924,235330
2020-10-07,238164,0,210036,941,238164
2020-10-08,240998,0,213672,958,240998
2020-10-09,244142,0,216984,974,244142
2020-10-10,246839,0,220388,991,246839
2020-10-11,249693,0,224273,1006,249693
2020-10-12,252239,0,227615,1022,252239
2020-10-13,254662,0,230192,1040,254662
2020-10-14,256937,0,232988,1057,256937
2020-10-15,259541,0,235763,1062,259541
2020-10-16,262011,0,238535,1089,262011
2020-10-17,264149,0,241385,1104,264149
2020-10-18,266345,0,244227,1121,266345
2020-10-19,268364,0,246837,1135,268364
2020-10-20,270346,0,249575,1152,270346
2020-10-21,272250,0,252197,1168,272250
2020-10-22,274181,0,254913,1181,274181
2020-10-23,277887,0,259418,1214,277887
2020-10-24,277887,0,259418,1214,277887
2020-10-25,279582,0,262031,1229,279582
2020-10-26,281215,0,264102,1245,281215
2020-10-27,282695,0,266105,1259,282695
2020-10-28,283942,0,268115,1272,283942
2020-10-29,285482,0,270130,1284,285482
2020-10-30,287099,0,272038,1297,287099
2020-10-31,288646,0,273838,1308,288646
2020-11-01,290116,0,275749,1320,290116
2020-11-02,291825,0,277564,1331,291825
2020-11-03,293214,0,279091,1340,293214
2020-11-04,294415,0,280553,1352,294415
2020-11-05,297274,0,283533,1378,297274
2020-11-06,297274,0,283533,1378,297274
2020-11-07,300140,0,286857,1410,300140
2020-11-08,300140,0,286857,1410,300140
2020-11-09,301574,0,288168,1425,301574
2020-11-10,302793,0,289689,1441,302793
2020-11-11,303780,0,291137,1454,303780
2020-11-12,305000,0,292477,1469,305000
2020-11-13,305986,0,293741,1483,305986
2020-11-14,307004,0,295245,1495,307004
2020-11-15,307906,0,296516,1510,307906
2020-11-16,308659,0,297862,1527,308659
2020-11-17,309408,0,299159,1543,309408
2020-11-18,310052,0,300474,1560,310052
2020-11-19,310920,0,301777,1575,310920
2020-11-20,311788,0,302796,1592,311788
2020-11-21,312545,0,303897,1608,312545
2020-11-22,313323,0,304908,1625,313323
2020-11-23,313961,0,305813,1640,313961
