date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-10,2,0,0,0,2
2020-03-11,2,0,0,0,2
2020-03-12,3,0,0,0,3
2020-03-13,3,0,0,0,3
2020-03-14,3,0,0,0,3
2020-03-15,3,0,0,0,3
2020-03-16,4,0,0,0,4
2020-03-17,6,0,0,0,6
2020-03-18,8,0,0,0,8
2020-03-19,8,0,0,0,8
2020-03-20,10,0,0,0,10
2020-03-21,13,0,0,0,13
2020-03-22,13,0,0,0,13
2020-03-23,13,0,0,0,13
2020-03-24,13,0,0,0,13
2020-03-25,13,0,0,0,13
2020-03-26,13,0,0,0,13
2020-03-27,13,0,3,0,13
2020-03-28,13,0,3,0,13
2020-03-29,13,0,3,0,13
2020-03-30,13,0,3,0,13
2020-03-31,13,0,3,0,13
2020-04-01,13,0,3,0,13
2020-04-02,13,0,3,0,13
2020-04-03,14,0,3,0,14
2020-04-04,14,0,3,0,14
2020-04-05,14,0,10,0,14
2020-04-06,14,0,10,0,14
2020-04-07,14,0,10,0,14
2020-04-08,14,0,10,0,14
2020-04-09,14,0,10,0,14
2020-04-10,15,0,10,0,15
2020-04-11,15,0,10,0,15
2020-04-12,15,0,10,0,15
2020-04-13,15,0,10,0,15
2020-04-14,15,0,10,0,15
2020-04-15,17,0,10,0,17
2020-04-16,17,0,10,0,17
2020-04-17,18,0,14,0,18
2020-04-18,18,0,14,0,18
2020-04-19,18,0,14,0,18
2020-04-20,18,0,14,0,18
2020-04-21,18,0,14,0,18
2020-04-22,18,0,14,0,18
2020-04-23,18,0,14,0,18
2020-04-24,18,0,14,0,18
2020-04-25,20,0,14,0,20
2020-04-26,20,0,14,0,20
2020-04-27,20,0,14,0,20
2020-04-28,22,0,16,0,22
2020-04-29,22,0,16,0,22
2020-04-30,22,0,16,0,22
2020-05-01,22,0,16,0,22
2020-05-02,22,0,17,0,22
2020-05-03,40,0,17,0,40
2020-05-04,41,0,17,0,41
2020-05-05,41,0,17,0,41
2020-05-06,41,0,17,0,41
2020-05-07,41,0,17,0,41
2020-05-08,42,0,17,0,42
2020-05-09,42,0,17,0,42
2020-05-10,42,0,17,0,42
2020-05-11,42,0,21,0,42
2020-05-12,42,0,21,0,42
2020-05-13,42,0,21,0,42
2020-05-14,43,0,22,0,43
2020-05-15,43,0,22,0,43
2020-05-16,43,0,22,0,43
2020-05-17,43,0,22,0,43
2020-05-18,43,0,24,0,43
2020-05-19,43,0,41,0,43
2020-05-20,43,0,43,0,43
2020-05-21,44,0,43,0,44
2020-05-22,44,0,43,0,44
2020-05-23,44,0,43,0,44
2020-05-24,49,0,43,0,49
2020-05-25,52,0,43,0,52
2020-05-26,52,0,43,0,52
2020-05-27,53,0,43,0,53
2020-05-28,53,0,43,0,53
2020-05-29,73,0,43,0,73
2020-05-30,74,0,43,0,74
2020-05-31,74,0,43,0,74
2020-06-01,74,0,43,0,74
2020-06-02,77,0,43,0,77
2020-06-03,81,0,47,1,81
2020-06-04,90,0,48,1,90
2020-06-05,90,0,48,1,90
2020-06-06,97,0,48,1,97
2020-06-07,99,0,48,1,99
2020-06-08,103,0,50,1,103
2020-06-09,103,0,52,1,103
2020-06-10,108,0,52,1,108
2020-06-11,115,0,52,1,115
2020-06-12,135,0,54,1,135
2020-06-13,239,0,62,1,239
2020-06-14,437,0,68,1,437
2020-06-15,549,0,80,1,549
2020-06-16,555,0,82,1,555
2020-06-17,649,0,85,1,649
2020-06-18,687,0,92,1,687
2020-06-19,687,0,95,1,687
2020-06-20,744,0,95,1,744
2020-06-21,836,0,117,1,836
2020-06-22,837,0,134,1,837
2020-06-23,847,0,136,1,847
2020-06-24,932,0,148,1,932
2020-06-25,941,0,274,1,941
