date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-10,1,0,0,0,1
2020-03-11,1,0,0,0,1
2020-03-12,1,0,0,0,1
2020-03-13,1,0,0,0,1
2020-03-14,1,0,0,0,1
2020-03-15,1,0,0,0,1
2020-03-16,1,0,0,0,1
2020-03-17,1,0,0,0,1
2020-03-18,1,0,0,0,1
2020-03-19,2,0,1,0,2
2020-03-20,3,0,1,0,3
2020-03-21,3,0,1,0,3
2020-03-22,5,2,1,0,7
2020-03-23,7,2,1,0,9
2020-03-24,13,2,1,0,15
2020-03-25,16,2,1,0,18
2020-03-26,20,6,1,1,26
2020-03-27,23,6,1,1,29
2020-03-28,34,6,2,1,40
2020-03-29,43,6,4,1,49
2020-03-30,61,6,4,1,67
2020-03-31,68,6,4,1,74
2020-04-01,228,6,6,1,234
2020-04-02,228,6,6,1,234
2020-04-03,303,6,6,1,309
2020-04-04,405,6,6,2,411
2020-04-05,479,6,6,3,485
2020-04-06,565,6,8,5,571
2020-04-07,615,6,8,5,621
2020-04-08,684,6,19,7,690
2020-04-09,732,6,21,8,738
2020-04-10,828,6,21,8,834
2020-04-11,905,6,44,8,911
2020-04-12,963,6,44,10,969
2020-04-13,1069,6,50,11,1075
2020-04-14,1167,6,58,11,1173
2020-04-15,1198,6,81,12,1204
2020-04-16,1236,6,118,14,1242
2020-04-17,1261,6,180,15,1267
2020-04-18,1317,6,283,15,1323
2020-04-19,1366,6,365,15,1372
2020-04-20,1471,6,411,15,1477
2020-04-21,1514,6,457,17,1520
2020-04-22,1590,6,635,18,1596
2020-04-23,1623,6,662,18,1629
2020-04-24,1677,6,752,20,1683
2020-04-25,1749,6,866,22,1755
2020-04-26,1815,6,960,23,1821
2020-04-27,1879,6,1020,24,1885
2020-04-28,1931,6,1101,24,1937
2020-04-29,2052,6,1168,25,2058
2020-04-30,2156,6,1210,27,2162
2020-05-01,2317,6,1258,27,2323
2020-05-02,2520,6,1312,28,2526
2020-05-03,2751,6,1341,29,2757
2020-05-04,3017,6,1379,30,3023
2020-05-05,3544,6,1409,31,3550
2020-05-06,4052,6,1485,33,4058
2020-05-07,4823,6,1516,35,4829
2020-05-08,5403,6,1547,37,5409
2020-05-09,6003,6,1605,40,6009
2020-05-10,6529,6,1824,44,6535
2020-05-11,7198,6,1959,47,7204
2020-05-12,7996,6,2051,53,8002
2020-05-13,8712,6,2134,61,8718
2020-05-14,9221,6,2176,64,9227
2020-05-15,9668,6,2240,66,9674
2020-05-16,10102,6,2599,71,10108
2020-05-17,10579,6,3538,74,10585
2020-05-18,11218,6,4172,78,11224
2020-05-19,11754,6,4406,81,11760
2020-05-20,12442,6,4895,84,12448
2020-05-21,13185,6,5882,87,13191
2020-05-22,13961,6,6282,94,13967
2020-05-23,14747,6,7128,98,14753
2020-05-24,15506,6,7491,103,15512
2020-05-25,16271,6,8324,111,16277
2020-05-26,17076,6,8731,118,17082
2020-05-27,17722,6,9342,127,17728
2020-05-28,18539,6,9909,133,18545
2020-05-29,19366,6,10548,145,19372
2020-05-30,20240,6,11313,154,20246
2020-05-31,21178,6,12000,160,21184
2020-06-01,22327,6,12757,173,22333
2020-06-02,23489,6,13170,184,23495
2020-06-03,24580,6,13706,197,24586
2020-06-04,25866,6,14316,208,25872
2020-06-05,27250,6,14902,220,27256
2020-06-06,28688,6,15762,232,28694
2020-06-07,30146,6,16395,251,30152
2020-06-08,31661,6,16999,269,31667
2020-06-09,33223,6,17527,286,33229
2020-06-10,34908,6,18325,307,34914
2020-06-11,36835,6,19333,326,36841
2020-06-12,38710,6,20705,349,38716
2020-06-13,40692,6,22047,367,40698
2020-06-14,42681,6,23409,397,42687
2020-06-15,44655,6,24547,435,44661
2020-06-16,46498,6,25344,479,46504
2020-06-17,48013,6,26782,528,48019
2020-06-18,50187,6,27624,576,50193
2020-06-19,52328,6,28641,625,52334
2020-06-20,54443,6,30271,666,54449
2020-06-21,56839,6,31316,704,56845
2020-06-22,59371,6,32754,757,59377
2020-06-23,62081,6,34112,794,62087
2020-06-24,64597,6,35339,833,64603
2020-06-25,67462,6,37763,866,67468
2020-06-26,70971,6,39999,911,70977
2020-06-27,74616,6,41357,957,74622
2020-06-28,78329,6,44094,1025,78335
2020-06-29,82269,6,45537,1079,82275
2020-06-30,86218,6,47749,1141,86224
2020-07-01,90161,6,50074,1201,90167
2020-07-02,94043,6,52926,1264,94049
2020-07-03,98386,6,56021,1321,98392
2020-07-04,102715,6,58378,1385,102721
2020-07-05,106995,6,60592,1450,107001
2020-07-06,111145,6,62778,1510,111151
2020-07-07,114972,6,66571,1571,114978
2020-07-08,118588,6,71116,1636,118594
2020-07-09,122344,6,74167,1700,122350
2020-07-10,126575,6,78161,1765,126581
2020-07-11,130255,6,82324,1829,130261
2020-07-12,134220,6,85915,1898,134226
2020-07-13,138464,6,89532,1966,138470
2020-07-14,142792,6,92567,2032,142798
2020-07-15,147318,6,97310,2099,147324
2020-07-16,151814,6,102310,2167,151820
2020-07-17,156363,6,107416,2236,156369
2020-07-18,160901,6,110807,2315,160907
2020-07-19,165708,6,113856,2403,165714
2020-07-20,170687,6,117915,2481,170693
2020-07-21,175672,6,121776,2551,175678
2020-07-22,180637,6,126670,2626,180643
2020-07-23,186486,6,131583,3144,186492
2020-07-24,192958,6,136793,3232,192964
2020-07-25,199743,6,143297,3320,199749
2020-07-26,206731,6,151055,3409,206737
2020-07-27,213717,6,156526,3494,213723
2020-07-28,220710,6,162249,3571,220716
2020-07-29,227682,6,166956,3659,227688
2020-07-30,234108,6,172883,3741,234114
2020-07-31,239972,6,178178,3838,239978
2020-08-01,245853,6,183956,3935,245859
2020-08-02,251732,6,190966,4034,251738
2020-08-03,257607,6,196483,4132,257613
2020-08-04,263216,6,202283,4241,263222
2020-08-05,268279,6,208784,4349,268285
2020-08-06,273454,6,214815,4461,273460
2020-08-07,279138,6,221087,4571,279144
2020-08-08,285018,6,227575,4690,285024
2020-08-09,290901,6,232618,4808,290907
2020-08-10,296895,6,238638,4927,296901
2020-08-11,302809,6,244675,5041,302815
2020-08-12,308643,6,250680,5159,308649
2020-08-13,314514,6,256313,5278,314520
2020-08-14,320349,6,261459,5397,320355
2020-08-15,326239,6,267015,5514,326245
2020-08-16,332099,6,272251,5641,332105
2020-08-17,338049,6,278270,5766,338055
2020-08-18,343939,6,283937,5886,343945
2020-08-19,349648,6,289787,6007,349654
2020-08-20,355443,6,296171,6123,355449
2020-08-21,361429,6,301913,6239,361435
2020-08-22,367424,6,307677,6340,367430
2020-08-23,373404,6,313280,6420,373410
2020-08-24,379379,6,319327,6517,379385
2020-08-25,385346,6,325456,6614,385352
2020-08-26,391297,6,332454,6721,391303
2020-08-27,397255,6,338060,6839,397261
2020-08-28,403236,6,343930,6948,403242
2020-08-29,409232,6,349682,7050,409238
2020-08-30,415584,6,355727,7137,415590
2020-08-31,422079,6,362133,7231,422085
2020-09-01,428035,6,368141,7322,428041
2020-09-02,433963,6,374172,7418,433969
2020-09-03,439953,6,380063,7516,439959
2020-09-04,445845,6,386173,7608,445851
2020-09-05,451821,6,392507,7687,451827
2020-09-06,457691,6,398366,7748,457697
2020-09-07,463474,6,404186,7836,463480
2020-09-08,469250,6,410116,7925,469256
2020-09-09,474934,6,416715,8012,474940
2020-09-10,480518,6,423231,8090,480524
2020-09-11,486046,6,429416,8154,486052
2020-09-12,491565,6,435422,8231,491571
2020-09-13,497060,6,441649,8307,497066
2020-09-14,502753,6,447366,8381,502759
2020-09-15,508505,6,453165,8434,508511
2020-09-16,514202,6,458900,8502,514208
2020-09-17,519854,6,464668,8559,519860
2020-09-18,525414,6,470192,8618,525420
2020-09-19,530902,6,475717,8685,530908
2020-09-20,536471,6,481273,8751,536477
2020-09-21,541987,6,486479,8811,541993
2020-09-22,547331,6,491971,8871,547337
2020-09-23,552668,6,497377,8947,552674
2020-09-24,558176,6,502793,9011,558182
2020-09-25,563685,6,508210,9076,563691
2020-09-26,569364,6,513836,9148,569370
2020-09-27,575011,6,519448,9233,575017
2020-09-28,580802,6,525154,9313,580808
2020-09-29,586391,6,530708,9383,586397
2020-09-30,591937,6,536209,9453,591943
2020-10-01,597610,6,541772,9519,597616
2020-10-02,603284,6,547335,9586,603290
2020-10-03,608879,6,552938,9653,608885
2020-10-04,614434,6,558515,9718,614440
2020-10-05,619990,6,564092,9784,619996
2020-10-06,625385,6,569664,9846,625391
2020-10-07,630617,6,575200,9915,630623
2020-10-08,635849,6,580736,9984,635855
2020-10-09,640937,6,586454,10052,640943
2020-10-10,646122,6,591811,10120,646128
2020-10-11,651364,6,597033,10187,651370
2020-10-12,656379,6,602038,10252,656385
2020-10-13,661258,6,607203,10314,661264
2020-10-14,665924,6,612320,10371,665930
2020-10-15,670386,6,617403,10423,670392
2020-10-16,674796,6,622458,10472,674802
2020-10-17,679185,6,627703,10529,679191
2020-10-18,683480,6,632708,10586,683486
2020-10-19,687394,6,637637,10642,687400
2020-10-20,690930,6,642152,10691,690936
2020-10-21,694024,6,646555,10741,694030
2020-10-22,697110,6,650856,10780,697116
2020-10-23,703244,6,659432,10858,703250
2020-10-24,703244,6,659432,10858,703250
2020-10-25,706130,6,663456,10893,706136
2020-10-26,708999,6,667475,10924,709005
2020-10-27,711707,6,671489,10956,711713
2020-10-28,714229,6,675518,10983,714235
2020-10-29,716745,6,679377,11018,716751
2020-10-30,719397,6,683464,11053,719403
2020-10-31,722005,6,687388,11091,722011
2020-11-01,724516,6,691236,11122,724522
2020-11-02,727020,6,694880,11152,727026
2020-11-03,729501,6,698820,11183,729507
2020-11-04,731936,6,701527,11214,731942
2020-11-05,736771,6,706444,11272,736777
2020-11-06,736771,6,706444,11272,736777
2020-11-07,741482,6,711198,11324,741488
2020-11-08,741482,6,711198,11324,741488
2020-11-09,743816,6,713584,11344,743822
2020-11-10,746073,6,715892,11362,746079
2020-11-11,748219,6,718129,11387,748225
2020-11-12,750403,6,720339,11415,750409
2020-11-13,752515,6,722686,11440,752521
2020-11-14,754454,6,725258,11454,754460
2020-11-15,756366,6,727752,11466,756372
2020-11-16,758185,6,730272,11478,758191
2020-11-17,759910,6,732656,11495,759916
2020-11-18,761562,6,734970,11513,761568
2020-11-19,763276,6,737281,11531,763282
2020-11-20,764983,6,739532,11550,764989
2020-11-21,766671,6,741705,11568,766677
2020-11-22,768334,6,743838,11586,768340
2020-11-23,769989,6,745848,11605,769995
2020-11-24,771613,6,747752,11622,771619
2020-11-25,773170,6,749662,11639,773176
2020-11-26,776168,6,753332,11669,776174
2020-11-27,776168,6,753332,11669,776174
2020-11-28,777610,6,754826,11681,777616
2020-11-29,779040,6,756279,11694,779046
2020-11-30,780499,6,757750,11703,780505
2020-12-01,783313,6,760617,11722,783319
2020-12-02,783313,6,760617,11722,783319
2020-12-03,784741,6,762015,11733,784747
2020-12-04,786157,6,763428,11747,786163
2020-12-05,787548,6,764854,11762,787554
2020-12-06,788914,6,766261,11777,788920
2020-12-07,790234,6,767759,11793,790240
2020-12-08,791546,6,769048,11809,791552
2020-12-09,792782,6,770378,11822,792788
2020-12-10,794014,6,771693,11836,794020
2020-12-11,796469,6,774306,11870,796475
2020-12-12,796469,6,774306,11870,796475
2020-12-13,797687,6,775602,11883,797693
2020-12-14,798882,6,776878,11895,798888
