date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-26,3,0,0,0,3
2020-03-27,3,0,0,0,3
2020-03-28,3,0,0,0,3
2020-03-29,4,1,0,0,5
2020-03-30,4,1,0,0,5
2020-03-31,4,1,0,0,5
2020-04-01,4,1,0,0,5
2020-04-02,4,1,0,0,5
2020-04-03,5,1,0,0,6
2020-04-04,6,1,0,0,7
2020-04-05,6,1,0,0,7
2020-04-06,6,1,0,0,7
2020-04-07,6,1,0,0,7
2020-04-08,6,1,0,0,7
2020-04-09,6,1,0,0,7
2020-04-10,6,1,1,0,7
2020-04-11,6,1,1,0,7
2020-04-12,6,1,5,0,7
2020-04-13,6,1,5,0,7
2020-04-14,6,1,5,0,7
2020-04-15,6,1,5,0,7
2020-04-16,6,1,5,0,7
2020-04-17,6,1,6,0,7
2020-04-18,6,1,6,0,7
2020-04-19,6,1,6,0,7
2020-04-20,6,1,7,0,7
2020-04-21,6,1,7,0,7
2020-04-22,6,1,7,0,7
2020-04-23,6,1,7,0,7
2020-04-24,6,1,7,0,7
2020-04-25,6,1,7,0,7
2020-04-26,6,1,7,0,7
2020-04-27,6,1,7,0,7
2020-04-28,6,1,7,0,7
2020-04-29,6,1,7,0,7
2020-04-30,6,1,7,0,7
2020-05-01,6,1,7,0,7
2020-05-02,6,1,7,0,7
2020-05-03,6,1,7,0,7
2020-05-04,6,1,7,0,7
2020-05-05,6,1,7,0,7
2020-05-06,6,1,7,0,7
2020-05-07,6,1,7,0,7
2020-05-08,6,1,7,0,7
2020-05-09,6,1,7,0,7
2020-05-10,6,1,7,0,7
2020-05-11,6,1,7,0,7
2020-05-12,6,1,7,0,7
2020-05-13,6,1,7,0,7
2020-05-14,6,1,7,0,7
2020-05-15,13,1,7,0,14
2020-05-16,14,1,7,0,15
2020-05-17,16,1,7,0,17
2020-05-18,28,1,7,0,29
2020-05-19,37,1,7,0,38
2020-05-20,45,1,7,0,46
2020-05-21,49,1,7,0,50
2020-05-22,51,1,7,0,52
2020-05-23,53,1,16,0,54
