date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-05-24,1,0,0,0,1
2020-05-25,1,0,0,0,1
2020-05-26,1,0,0,0,1
2020-05-27,1,0,0,0,1
2020-05-28,1,0,0,0,1
2020-05-29,1,0,0,0,1
2020-05-30,1,0,0,0,1
2020-05-31,1,0,0,0,1
2020-06-01,1,0,0,0,1
2020-06-02,1,0,0,0,1
2020-06-03,1,0,0,0,1
2020-06-04,2,0,0,0,2
2020-06-05,2,0,0,0,2
2020-06-06,3,0,0,0,3
2020-06-07,7,0,0,0,7
2020-06-08,7,0,0,0,7
2020-06-09,7,0,0,0,7
2020-06-10,13,0,0,0,13
2020-06-11,13,0,0,0,13
2020-06-12,14,0,2,0,14
2020-06-13,63,0,2,0,63
2020-06-14,63,0,4,0,63
2020-06-15,68,0,4,0,68
2020-06-16,68,0,4,0,68
2020-06-17,70,0,4,0,70
2020-06-18,70,0,4,0,70
2020-06-19,70,0,5,0,70
2020-06-20,70,0,5,0,70
2020-06-21,70,0,25,0,70
2020-06-22,78,0,25,0,78
2020-06-23,78,0,29,0,78
2020-06-24,79,0,29,0,79
2020-06-25,84,0,39,0,84
2020-06-26,85,0,39,0,85
2020-06-27,86,0,39,0,86
2020-06-28,87,0,46,0,87
2020-06-29,88,0,49,0,88
2020-06-30,88,0,50,0,88
2020-07-01,89,0,52,0,89
2020-07-02,101,0,53,0,101
2020-07-03,102,0,53,0,102
2020-07-04,102,0,53,0,102
2020-07-05,103,0,58,0,103
2020-07-06,123,0,61,0,123
2020-07-07,125,0,65,0,125
2020-07-08,125,0,70,0,125
2020-07-09,133,0,71,0,133
2020-07-10,134,0,72,0,134
2020-07-11,134,0,80,0,134
2020-07-12,151,0,80,0,151
2020-07-13,153,0,81,0,153
2020-07-14,192,0,86,0,192
2020-07-15,209,0,87,0,209
2020-07-16,220,0,87,0,220
2020-07-17,243,0,88,0,243
2020-07-18,266,0,90,0,266
2020-07-19,275,0,90,0,275
2020-07-20,283,0,92,0,283
2020-07-21,305,0,92,0,305
2020-07-22,330,0,108,0,330
2020-07-23,438,0,112,0,438
2020-07-24,460,0,122,0,460
2020-07-25,477,0,142,0,477
2020-07-26,499,0,142,0,499
2020-07-27,545,0,148,0,545
2020-07-28,555,0,174,1,555
2020-07-29,579,0,186,1,579
2020-07-30,596,0,198,1,596
2020-07-31,610,0,214,1,610
2020-08-01,639,0,231,1,639
2020-08-02,650,0,269,1,650
2020-08-03,658,0,289,1,658
2020-08-04,688,0,297,1,688
2020-08-05,783,0,299,1,783
2020-08-06,800,0,303,1,800
2020-08-07,829,0,353,1,829
2020-08-08,854,0,406,1,854
2020-08-09,860,0,470,1,860
2020-08-10,866,0,494,1,866
2020-08-11,910,0,510,1,910
2020-08-12,913,0,534,1,913
2020-08-13,930,0,550,1,930
2020-08-14,931,0,581,1,931
2020-08-15,1080,0,623,1,1080
2020-08-16,1148,0,661,1,1148
2020-08-17,1167,0,673,1,1167
2020-08-18,1187,0,701,1,1187
2020-08-19,1207,0,755,2,1207
2020-08-20,1232,0,789,3,1232
2020-08-21,1290,0,827,3,1290
2020-08-22,1336,0,834,3,1336
2020-08-23,1381,0,871,3,1381
2020-08-24,1403,0,871,3,1403
2020-08-25,1446,0,934,3,1446
2020-08-26,1475,0,1054,3,1475
2020-08-27,1486,0,1076,3,1486
2020-08-28,1542,0,1151,3,1542
2020-08-29,1576,0,1184,3,1576
2020-08-30,1602,0,1195,3,1602
2020-08-31,1627,0,1220,3,1627
2020-09-01,1652,0,1225,3,1652
2020-09-02,1670,0,1237,4,1670
2020-09-03,1704,0,1269,4,1704
2020-09-04,1738,0,1304,4,1738
2020-09-05,1843,0,1329,5,1843
2020-09-06,1901,0,1347,5,1901
2020-09-07,1910,0,1371,5,1910
2020-09-08,1939,0,1396,5,1939
2020-09-09,1958,0,1413,7,1958
2020-09-10,1989,0,1429,7,1989
2020-09-11,2009,0,1470,7,2009
2020-09-12,2026,0,1486,8,2026
2020-09-13,2055,0,1503,11,2055
2020-09-14,2086,0,1505,14,2086
2020-09-15,2119,0,1521,16,2119
2020-09-16,2173,0,1690,19,2173
2020-09-17,2221,0,1722,19,2221
2020-09-18,2274,0,1789,22,2274
2020-09-19,2303,0,1857,24,2303
2020-09-20,2423,0,1972,25,2423
2020-09-21,2472,0,1975,28,2472
2020-09-22,2528,0,1986,29,2528
2020-09-23,2594,0,2009,29,2594
2020-09-24,2643,0,2031,30,2643
2020-09-25,2692,0,2054,31,2692
2020-09-26,2785,0,2075,31,2785
2020-09-27,2833,0,2097,31,2833
2020-09-28,2871,0,2146,33,2871
2020-09-29,2896,0,2164,34,2896
2020-09-30,2937,0,2235,35,2937
2020-10-01,2993,0,2305,37,2993
2020-10-02,3050,0,2375,39,3050
2020-10-03,3092,0,2409,41,3092
2020-10-04,3133,0,2444,43,3133
2020-10-05,3174,0,2480,45,3174
2020-10-06,3191,0,2547,46,3191
2020-10-07,3212,0,2581,47,3212
2020-10-08,3234,0,2615,49,3234
2020-10-09,3246,0,2650,51,3246
2020-10-10,3278,0,2721,53,3278
2020-10-11,3321,0,2816,55,3321
2020-10-12,3359,0,2920,55,3359
2020-10-13,3366,0,2925,57,3366
2020-10-14,3417,0,3014,59,3417
2020-10-15,3459,0,3075,59,3459
2020-10-16,3500,0,3129,59,3500
2020-10-17,3531,0,3177,59,3531
2020-10-18,3567,0,3233,59,3567
2020-10-19,3597,0,3265,60,3597
2020-10-20,3601,0,3276,62,3601
2020-10-21,3643,0,3326,63,3643
2020-10-22,3677,0,3361,63,3677
2020-10-23,3770,0,3465,63,3770
2020-10-24,3770,0,3465,63,3770
2020-10-25,3819,0,3490,63,3819
2020-10-26,3835,0,3525,64,3835
2020-10-27,3840,0,3530,65,3840
2020-10-28,3863,0,3534,67,3863
2020-10-29,3875,0,3545,67,3875
2020-10-30,3893,0,3558,67,3893
2020-10-31,3913,0,3591,68,3913
2020-11-01,3940,0,3617,72,3940
2020-11-02,3958,0,3651,73,3958
2020-11-03,3967,0,3655,73,3967
2020-11-04,4004,0,3660,73,4004
2020-11-05,4093,0,3778,75,4093
2020-11-06,4093,0,3778,75,4093
2020-11-07,4195,0,3805,76,4195
2020-11-08,4195,0,3805,76,4195
2020-11-09,4245,0,3894,78,4245
2020-11-10,4257,0,3910,79,4257
2020-11-11,4308,0,3923,80,4308
2020-11-12,4344,0,3971,82,4344
2020-11-13,4368,0,4019,85,4368
2020-11-14,4415,0,4036,86,4415
2020-11-15,4456,0,4073,87,4456
2020-11-16,4498,0,4125,89,4498
2020-11-17,4521,0,4137,91,4521
2020-11-18,4548,0,4144,92,4548
2020-11-19,4577,0,4182,95,4577
2020-11-20,4609,0,4218,95,4609
2020-11-21,4632,0,4271,96,4632
2020-11-22,4691,0,4304,98,4691
2020-11-23,4722,0,4345,99,4722
2020-11-24,4736,0,4406,100,4736
2020-11-25,4777,0,4437,102,4777
2020-11-26,4871,0,4501,102,4871
2020-11-27,4871,0,4501,102,4871
2020-11-28,4908,0,4541,103,4908
2020-11-29,4967,0,4572,107,4967
2020-11-30,4985,0,4609,108,4985
2020-12-01,5031,0,4637,110,5031
2020-12-02,5031,0,4637,110,5031
2020-12-03,5072,0,4661,111,5072
2020-12-04,5100,0,4669,111,5100
2020-12-05,5147,0,4677,112,5147
2020-12-06,5168,0,4686,115,5168
2020-12-07,5197,0,4695,115,5197
2020-12-08,5203,0,4715,117,5203
2020-12-09,5215,0,4735,117,5215
2020-12-10,5239,0,4754,117,5239
2020-12-11,5291,0,4810,118,5291
2020-12-12,5291,0,4810,118,5291
2020-12-13,5316,0,4834,118,5316
2020-12-14,5338,0,4864,118,5338
2020-12-15,5340,0,4919,118,5340
2020-12-16,5398,0,4971,121,5398
2020-12-17,5406,0,4990,122,5406
2020-12-18,5406,0,4990,122,5406
2020-12-19,5439,0,5012,123,5439
2020-12-20,5561,0,5037,123,5561
2020-12-21,5576,0,5092,124,5576
2020-12-22,5576,0,5092,124,5576
2020-12-23,5610,0,5108,124,5610
2020-12-24,5632,0,5110,125,5632
2020-12-25,5664,0,5119,125,5664
2020-12-26,5684,0,5142,125,5684
2020-12-27,5799,0,5157,125,5799
2020-12-28,5845,0,5173,125,5845
2020-12-29,5845,0,5188,126,5845
2020-12-30,5864,0,5201,126,5864
2020-12-31,5877,0,5218,127,5877
2021-01-01,5889,0,5233,127,5889
2021-01-02,5900,0,5238,128,5900
2021-01-03,5911,0,5252,129,5911
2021-01-04,5920,0,5285,129,5920
2021-01-05,5921,0,5307,129,5921
2021-01-06,5938,0,5316,129,5938
2021-01-07,5965,0,5371,129,5965
2021-01-08,5965,0,5371,129,5965
2021-01-09,5979,0,5457,129,5979
2021-01-10,5984,0,5486,129,5984
2021-01-11,5989,0,5538,129,5989
2021-01-12,5989,0,5538,129,5989
2021-01-13,5996,0,5554,129,5996
2021-01-14,6004,0,5564,129,6004
2021-01-15,6011,0,5719,130,6011
2021-01-16,6029,0,5741,130,6029
2021-01-17,6029,0,5741,130,6029
2021-01-18,6038,0,5747,130,6038
2021-01-19,6038,0,5756,130,6038
2021-01-20,6052,0,5765,131,6052
2021-01-21,6062,0,5783,131,6062
2021-01-22,6063,0,5792,131,6063
2021-01-23,6063,0,5792,131,6063
2021-01-24,6068,0,5802,132,6068
2021-01-25,6071,0,5811,133,6071
2021-01-26,6072,0,5824,133,6072
2021-01-27,6078,0,5841,133,6078
2021-01-28,6079,0,5844,133,6079
2021-01-29,6084,0,5847,133,6084
2021-01-30,6085,0,5855,133,6085
2021-01-31,6088,0,5861,133,6088
2021-02-01,6090,0,5870,134,6090
2021-02-02,6091,0,5874,135,6091
2021-02-03,6096,0,5876,135,6096
2021-02-04,6098,0,5877,135,6098
2021-02-05,6103,0,5886,135,6103
2021-02-06,6105,0,5893,135,6105
2021-02-07,6108,0,5898,135,6108
2021-02-08,6110,0,5908,135,6110
2021-02-09,6110,0,5908,135,6110
2021-02-10,6110,0,5912,135,6110
2021-02-11,6111,0,5916,135,6111
2021-02-12,6116,0,5920,135,6116
2021-02-13,6116,0,5920,135,6116
2021-02-14,6116,0,5922,135,6116
2021-02-15,6118,0,5929,135,6118
2021-02-16,6121,0,5930,135,6121
2021-02-17,6121,0,5930,135,6121
2021-02-18,6126,0,5933,135,6126
2021-02-19,6126,0,5933,135,6126
2021-02-20,6127,0,5938,135,6127
2021-02-21,6132,0,5945,135,6132
2021-02-22,6132,0,5945,135,6132
2021-02-23,6132,0,5948,135,6132
2021-02-24,6132,0,5950,135,6132
2021-02-25,6132,0,5950,135,6132
2021-02-26,6133,0,5955,135,6133
2021-02-27,6135,0,5955,135,6135
2021-02-28,6145,0,5964,135,6145
2021-03-01,6145,0,5965,135,6145
2021-03-02,6145,0,5965,135,6145
2021-03-03,6147,0,5975,135,6147
2021-03-04,6150,0,5986,135,6150
2021-03-05,6154,0,5987,135,6154
2021-03-06,6157,0,5987,135,6157
2021-03-07,6167,0,5988,135,6167
2021-03-08,6174,0,5989,135,6174
2021-03-09,6174,0,5989,135,6174
2021-03-10,6175,0,5990,135,6175
2021-03-11,6178,0,5994,135,6178
2021-03-12,6179,0,5994,135,6179
2021-03-13,6183,0,5994,135,6183
2021-03-14,6184,0,6002,135,6184
2021-03-15,6184,0,6003,135,6184
2021-03-16,6184,0,6008,135,6184
2021-03-17,6191,0,6012,135,6191
2021-03-18,6194,0,6013,135,6194
2021-03-19,6196,0,6013,135,6196
2021-03-20,6199,0,6015,135,6199
