date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-24,1,0,0,0,1
2020-03-25,1,0,0,0,1
2020-03-26,1,0,0,0,1
2020-03-27,1,0,0,0,1
2020-03-28,1,0,0,0,1
2020-03-29,1,0,0,0,1
2020-03-30,1,0,0,0,1
2020-03-31,1,0,0,0,1
2020-04-01,1,0,0,0,1
2020-04-02,1,0,0,0,1
2020-04-03,2,0,0,0,2
2020-04-04,2,0,0,0,2
2020-04-05,2,0,0,0,2
2020-04-06,2,0,0,0,2
2020-04-07,2,0,0,0,2
2020-04-08,2,0,0,0,2
2020-04-09,2,0,1,0,2
2020-04-10,2,0,1,0,2
2020-04-11,2,0,1,0,2
2020-04-12,2,0,1,0,2
2020-04-13,2,0,1,0,2
2020-04-14,2,0,1,0,2
2020-04-15,2,0,1,0,2
2020-04-16,2,0,1,0,2
2020-04-17,2,0,1,0,2
2020-04-18,2,0,1,0,2
2020-04-19,2,0,1,0,2
2020-04-20,2,0,2,0,2
2020-04-21,2,0,2,0,2
2020-04-22,2,0,2,0,2
2020-04-23,2,0,2,0,2
2020-04-24,2,0,2,0,2
2020-04-25,2,0,2,0,2
2020-04-26,2,0,2,0,2
2020-04-27,2,0,2,0,2
2020-04-28,2,0,2,0,2
2020-04-29,2,0,2,0,2
2020-04-30,2,0,2,0,2
2020-05-01,2,0,2,0,2
2020-05-02,2,0,2,0,2
2020-05-03,2,0,2,0,2
2020-05-04,2,0,2,0,2
2020-05-05,2,0,2,0,2
2020-05-06,2,0,2,0,2
2020-05-07,2,0,2,0,2
2020-05-08,2,0,2,0,2
2020-05-09,2,0,2,0,2
2020-05-10,2,0,2,0,2
2020-05-11,2,0,2,0,2
2020-05-12,2,0,2,0,2
2020-05-13,2,0,2,0,2
2020-05-14,2,0,2,0,2
2020-05-15,3,0,2,0,3
2020-05-16,3,0,2,0,3
2020-05-17,7,0,2,0,7
2020-05-18,7,0,2,0,7
2020-05-19,7,0,2,0,7
2020-05-20,9,0,2,0,9
2020-05-21,25,0,2,0,25
2020-05-22,25,0,2,0,25
2020-05-23,26,0,2,0,26
2020-05-24,29,0,4,0,29
2020-05-25,32,0,4,0,32
2020-05-26,39,0,4,0,39
2020-05-27,39,0,4,0,39
2020-05-28,44,0,4,0,44
2020-05-29,55,0,5,0,55
2020-05-30,59,0,8,0,59
2020-05-31,62,0,8,0,62
2020-06-01,71,0,11,0,71
2020-06-02,83,0,11,0,83
2020-06-03,89,0,14,0,89
2020-06-04,118,0,38,0,118
2020-06-05,124,0,38,0,124
