date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-10,1,0,0,0,1
2020-03-11,1,0,0,0,1
2020-03-12,1,0,0,0,1
2020-03-13,1,0,0,0,1
2020-03-14,1,0,0,0,1
2020-03-15,1,0,0,0,1
2020-03-16,1,0,0,0,1
2020-03-17,1,0,0,0,1
2020-03-18,1,0,0,0,1
2020-03-19,2,0,0,1,2
2020-03-20,2,0,0,1,2
2020-03-21,13,0,0,1,13
2020-03-22,21,0,0,1,21
2020-03-23,21,0,0,1,21
2020-03-24,29,0,0,1,29
2020-03-25,29,0,0,1,29
2020-03-26,33,0,0,1,33
2020-03-27,33,0,0,1,33
2020-03-28,38,0,1,1,38
2020-03-29,38,0,1,1,38
2020-03-30,38,0,1,1,38
2020-03-31,41,0,1,3,41
2020-04-01,42,0,1,3,42
2020-04-02,46,0,1,4,46
2020-04-03,48,0,1,5,48
2020-04-04,57,0,1,5,57
2020-04-05,57,0,1,5,57
2020-04-06,76,0,4,6,76
2020-04-07,91,0,4,7,91
2020-04-08,91,0,4,7,91
2020-04-09,101,0,4,8,101
2020-04-10,132,0,5,11,132
2020-04-11,132,0,5,11,132
2020-04-12,151,0,5,11,151
2020-04-13,167,0,14,11,167
2020-04-14,176,0,14,12,176
2020-04-15,186,0,14,13,186
2020-04-16,186,0,27,13,186
2020-04-17,186,0,27,13,186
2020-04-18,202,0,27,13,202
2020-04-19,219,0,31,16,219
2020-04-20,219,0,31,16,219
2020-04-21,245,0,39,16,245
2020-04-22,251,0,49,16,251
2020-04-23,277,0,65,16,277
2020-04-24,277,0,65,16,277
2020-04-25,298,0,67,17,298
2020-04-26,298,0,67,17,298
2020-04-27,313,0,71,18,313
2020-04-28,313,0,71,18,313
2020-04-29,322,0,71,19,322
2020-04-30,357,0,90,19,357
2020-05-01,357,0,90,19,357
2020-05-02,772,0,112,20,772
2020-05-03,772,0,112,20,772
2020-05-04,1102,0,117,21,1102
2020-05-05,1233,0,128,23,1233
2020-05-06,1451,0,133,25,1451
2020-05-07,1516,0,135,27,1516
2020-05-08,1644,0,149,28,1644
2020-05-09,1731,0,152,29,1731
2020-05-10,1762,0,157,31,1762
2020-05-11,1823,0,166,31,1823
2020-05-12,1877,0,168,31,1877
2020-05-13,1914,0,171,32,1914
2020-05-14,1924,0,200,32,1924
2020-05-15,1935,0,223,32,1935
2020-05-16,1935,0,305,32,1935
2020-05-17,1946,0,1257,32,1946
2020-05-18,1964,0,1366,35,1964
2020-05-19,1980,0,1547,37,1980
2020-05-20,2002,0,1642,38,2002
2020-05-21,2005,0,1794,38,2005
2020-05-22,2028,0,1819,39,2028
2020-05-23,2029,0,1847,39,2029
2020-05-24,2045,0,1870,39,2045
2020-05-25,2060,0,1898,40,2060
2020-05-26,2060,0,1898,40,2060
2020-05-27,2106,0,1918,40,2106
2020-05-28,2139,0,1918,40,2139
2020-05-29,2158,0,1946,40,2158
2020-05-30,2197,0,1949,42,2197
2020-05-31,2233,0,1967,44,2233
2020-06-01,2263,0,1987,45,2263
2020-06-02,2301,0,2000,45,2301
2020-06-03,2342,0,2017,46,2342
2020-06-04,2376,0,2029,47,2376
2020-06-05,2415,0,2043,47,2415
2020-06-06,2461,0,2069,48,2461
2020-06-07,2515,0,2092,50,2515
2020-06-08,2608,0,2106,51,2608
2020-06-09,2663,0,2128,53,2663
2020-06-10,2719,0,2167,55,2719
2020-06-11,2805,0,2232,55,2805
2020-06-12,2887,0,2259,59,2887
2020-06-13,2986,0,2282,63,2986
2020-06-14,3063,0,2327,65,3063
2020-06-15,3140,0,2356,67,3140
2020-06-16,3267,0,2443,71,3267
2020-06-17,3371,0,2461,72,3371
2020-06-18,3497,0,2538,78,3497
2020-06-19,3615,0,2570,83,3615
2020-06-20,3832,0,2636,92,3832
2020-06-21,3952,0,2678,98,3952
2020-06-22,4074,0,2700,99,4074
2020-06-23,4235,0,2825,101,4235
2020-06-24,4397,0,3047,105,4397
2020-06-25,4627,0,3099,113,4627
2020-06-26,4769,0,3192,120,4769
2020-06-27,4957,0,3201,122,4957
2020-06-28,5056,0,3320,128,5056
2020-06-29,5216,0,3526,133,5216
2020-06-30,5418,0,3764,138,5418
2020-07-01,5568,0,3867,144,5568
2020-07-02,5668,0,3867,149,5668
2020-07-03,5784,0,4144,152,5784
2020-07-04,5937,0,4266,157,5937
2020-07-05,6109,0,4306,162,6109
2020-07-06,6283,0,4408,164,6283
2020-07-07,6491,0,4494,169,6491
2020-07-08,6749,0,4554,175,6749
2020-07-09,6907,0,4828,178,6907
2020-07-10,7140,0,4945,183,7140
2020-07-11,7357,0,5017,187,7357
2020-07-12,7587,0,5040,195,7587
2020-07-13,7821,0,5392,199,7821
2020-07-14,8178,0,5586,204,8178
2020-07-15,8511,0,5663,213,8511
2020-07-16,8799,0,5867,221,8799
2020-07-17,9094,0,6277,230,9094
2020-07-18,9442,0,6373,239,9442
2020-07-19,9792,0,6454,246,9792
2020-07-20,10100,0,6535,254,10100
2020-07-21,10510,0,7118,262,10510
2020-07-22,10889,0,7389,263,10889
2020-07-23,11301,0,7641,269,11301
2020-07-24,11739,0,7741,277,11739
2020-07-25,12216,0,8096,282,12216
2020-07-26,12684,0,8297,291,12684
2020-07-27,13218,0,8810,306,13218
2020-07-28,13769,0,9064,318,13769
2020-07-29,14378,0,9752,336,14378
2020-07-30,14946,0,10213,361,14946
2020-07-31,15456,0,10509,370,15456
2020-08-01,16119,0,10734,386,16119
2020-08-02,17063,0,11075,405,17063
2020-08-03,17853,0,11466,423,17853
2020-08-04,18527,0,11882,442,18527
2020-08-05,19015,0,12491,462,19015
2020-08-06,19856,0,12943,491,19856
2020-08-07,20891,0,13659,517,20891
2020-08-08,21930,0,14040,539,21930
2020-08-09,22928,0,14880,562,22928
2020-08-10,23903,0,15319,586,23903
2020-08-11,24889,0,15735,604,24889
2020-08-12,25889,0,16790,636,25889
2020-08-13,26909,0,17212,675,26909
2020-08-14,27936,0,17839,706,27936
2020-08-15,29013,0,18328,731,29013
2020-08-16,30041,0,18863,771,30041
2020-08-17,31206,0,19431,812,31206
2020-08-18,32696,0,20180,863,32696
2020-08-19,34400,0,21762,898,34400
2020-08-20,36084,0,22703,921,36084
2020-08-21,37824,0,23037,957,37824
2020-08-22,39327,0,23893,991,39327
2020-08-23,40643,0,24302,1036,40643
2020-08-24,41779,0,26528,1086,41779
2020-08-25,43284,0,28357,1129,43284
2020-08-26,44577,0,29145,1178,44577
2020-08-27,46090,0,30231,1219,46090
2020-08-28,47836,0,30972,1256,47836
2020-08-29,49378,0,33008,1307,49378
2020-08-30,50848,0,34091,1348,50848
2020-08-31,52526,0,35747,1404,52526
2020-09-01,53992,0,37027,1453,53992
2020-09-02,55508,0,38147,1512,55508
2020-09-03,56989,0,39742,1618,56989
2020-09-04,58515,0,41271,1690,58515
2020-09-05,60013,0,42543,1739,60013
2020-09-06,61527,0,43849,1808,61527
2020-09-07,63473,0,45455,1862,63473
2020-09-08,65583,0,47020,1923,65583
2020-09-09,67547,0,49327,1990,67547
2020-09-10,69684,0,50558,2061,69684
2020-09-11,72143,0,51906,2149,72143
2020-09-12,74616,0,53308,2212,74616
2020-09-13,77057,0,55385,2288,77057
2020-09-14,79679,0,57536,2356,79679
2020-09-15,82113,0,58999,2424,82113
2020-09-16,84482,0,60814,2514,84482
2020-09-17,87184,0,63570,2592,87184
2020-09-18,90032,0,65818,2646,90032
2020-09-19,92833,0,68463,2708,92833
2020-09-20,95529,0,70373,2757,95529
2020-09-21,97689,0,72598,2813,97689
2020-09-22,99930,0,75409,2860,99930
2020-09-23,101341,0,77127,2926,101341
2020-09-24,103280,0,79301,2996,103280
2020-09-25,105220,0,81475,3066,105220
2020-09-26,107096,0,84025,3134,107096
2020-09-27,108684,0,86013,3188,108684
2020-09-28,110106,0,88312,3238,110106
2020-09-29,111375,0,90345,3284,111375
2020-09-30,112460,0,92277,3359,112460
2020-10-01,113805,0,94107,3405,113805
2020-10-02,115151,0,95937,3451,115151
2020-10-03,116213,0,97777,3501,116213
2020-10-04,117185,0,99377,3552,117185
2020-10-05,118157,0,100977,3603,118157
2020-10-06,119184,0,102648,3641,119184
2020-10-07,120022,0,104116,3676,120022
2020-10-08,120860,0,105585,3712,120860
2020-10-09,121716,0,107200,3741,121716
2020-10-10,122459,0,108533,3773,122459
2020-10-11,123317,0,109767,3798,123317
2020-10-12,123973,0,110865,3833,123973
2020-10-13,124535,0,112099,3860,124535
2020-10-14,125211,0,113105,3894,125211
2020-10-15,125760,0,114075,3925,125760
2020-10-16,126230,0,115186,3954,126230
2020-10-17,126737,0,116165,3980,126737
2020-10-18,127154,0,116925,3999,127154
2020-10-19,127630,0,117883,4012,127630
2020-10-20,128103,0,118767,4029,128103
2020-10-21,128590,0,119658,4037,128590
2020-10-22,129088,0,120220,4060,129088
2020-10-23,130157,0,121735,4095,130157
2020-10-24,130157,0,121735,4095,130157
2020-10-25,130640,0,122256,4107,130640
2020-10-26,131055,0,122721,4117,131055
2020-10-27,131391,0,123047,4125,131391
2020-10-28,131737,0,123510,4138,131737
2020-10-29,132263,0,123866,4158,132263
2020-10-30,132727,0,124293,4168,132727
2020-10-31,133158,0,124870,4187,133158
2020-11-01,133658,0,125198,4203,133658
2020-11-02,133975,0,125566,4214,133975
2020-11-03,134371,0,125961,4227,134371
2020-11-04,134786,0,126315,4245,134786
2020-11-05,135834,0,126932,4281,135834
2020-11-06,135834,0,126932,4281,135834
2020-11-07,136958,0,127821,4310,136958
2020-11-08,136958,0,127821,4310,136958
2020-11-09,137445,0,128217,4318,137445
2020-11-10,137999,0,128727,4338,137999
2020-11-11,138485,0,129089,4358,138485
2020-11-12,139184,0,129549,4389,139184
2020-11-13,139869,0,130018,4412,139869
2020-11-14,140605,0,130406,4428,140605
2020-11-15,140605,0,130406,4428,140605
2020-11-16,141658,0,131431,4458,141658
2020-11-17,142082,0,132001,4480,142082
2020-11-18,142597,0,132266,4510,142597
2020-11-19,143395,0,132917,4541,143395
2020-11-20,144177,0,133427,4556,144177
2020-11-21,144995,0,133919,4572,144995
2020-11-22,145667,0,134511,4595,145667
2020-11-23,146346,0,135008,4614,146346
2020-11-24,147057,0,135739,4631,147057
2020-11-25,147665,0,136178,4653,147665
2020-11-26,149278,0,137089,4710,149278
2020-11-27,149278,0,137089,4710,149278
2020-11-28,150086,0,137630,4737,150086
2020-11-29,150805,0,138206,4765,150805
2020-11-30,151538,0,138870,4780,151538
2020-12-01,152709,0,140254,4821,152709
2020-12-02,152709,0,140254,4821,152709
2020-12-03,153308,0,140772,4842,153308
2020-12-04,154064,0,141478,4862,154064
2020-12-05,154788,0,142121,4882,154788
2020-12-06,155424,0,142791,4906,155424
2020-12-07,156226,0,143414,4916,156226
2020-12-08,156839,0,144301,4934,156839
2020-12-09,157331,0,145093,4964,157331
2020-12-10,157928,0,145623,4980,157928
2020-12-11,159099,0,146777,5036,159099
2020-12-12,159099,0,146777,5036,159099
2020-12-13,159579,0,147431,5057,159579
2020-12-14,160200,0,148047,5077,160200
2020-12-15,160659,0,148680,5098,160659
2020-12-16,161383,0,150007,5135,161383
2020-12-17,161831,0,150636,5150,161831
2020-12-18,161831,0,150636,5150,161831
2020-12-19,162270,0,151119,5170,162270
2020-12-20,162705,0,151679,5189,162705
